days	firstversion	lastversion	file_name	classification
635	v2.6.37	v3.6	arch/blackfin/include/asm/irqflags.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/irqflags.h	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/ipipe.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/ipipe.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/ipipe.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/ipipe.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/ipipe.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/lib/ins.S	MissingDead
635	v2.6.37	v3.6	arch/blackfin/lib/ins.S	MissingDead
635	v2.6.37	v3.6	drivers/staging/speakup/serialio.h	MissingUndead
635	v2.6.37	v3.6	arch/blackfin/mach-bf518/boards/ezbrd.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf518/boards/ezbrd.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf518/boards/ezbrd.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf518/boards/ezbrd.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8192u/ieee80211/internal.h	MissingUndead
635	v2.6.37	v3.6	arch/blackfin/mach-bf527/boards/tll6527m.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/ipipe.h	MissingUndead
635	v2.6.37	v3.6	arch/blackfin/mach-bf527/boards/tll6527m.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/mmu_context.h	MissingUndead
635	v2.6.37	v3.6	arch/mn10300/include/asm/serial.h	MissingUndead
635	v2.6.37	v3.6	arch/mn10300/include/asm/serial.h	MissingUndead
635	v2.6.37	v3.6	arch/powerpc/include/asm/exception-64e.h	MissingUndead
635	v2.6.37	v3.6	arch/powerpc/include/asm/exception-64e.h	MissingUndead
635	v2.6.37	v3.6	drivers/scsi/wd33c93.h	MissingUndead
635	v2.6.37	v3.6	arch/mips/powertv/asic/prealloc.h	MissingUndead
635	v2.6.37	v3.6	arch/mips/powertv/asic/prealloc.h	MissingUndead
635	v2.6.37	v3.6	arch/blackfin/mach-bf527/boards/ezkit.c	MissingDead
635	v2.6.37	v3.6	arch/mips/powertv/asic/prealloc.h	MissingUndead
635	v2.6.37	v3.6	arch/blackfin/mach-bf527/boards/ezkit.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/entry.h	MissingUndead
635	v2.6.37	v3.6	arch/tile/include/asm/pgtable_32.h	MissingUndead
635	v2.6.37	v3.6	arch/um/include/asm/cache.h	MissingUndead
635	v2.6.37	v3.6	arch/um/include/asm/page.h	MissingUndead
635	v2.6.37	v3.6	arch/um/include/asm/pgtable.h	MissingUndead
635	v2.6.37	v3.6	arch/mips/powertv/asic/prealloc.h	MissingUndead
635	v2.6.37	v3.6	arch/arm/plat-mxc/include/mach/mx51.h	MissingUndead
635	v2.6.37	v3.6	arch/x86/include/asm/serial.h	MissingUndead
635	v2.6.37	v3.6	arch/sh/include/cpu-sh4/cpu/mmu_context.h	MissingUndead
635	v2.6.37	v3.6	arch/x86/include/asm/dwarf2.h	MissingUndead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	arch/arm/mach-omap1/pm.c	MissingDead
635	v2.6.37	v3.6	arch/arm/mach-omap1/board-sx1.c	MissingDead
635	v2.6.37	v3.6	arch/arm/mach-omap2/board-omap3stalker.c	MissingDead
635	v2.6.37	v3.6	arch/arm/mach-omap2/board-omap3stalker.c	MissingDead
635	v2.6.37	v3.6	arch/arm/mm/proc-arm925.S	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	arch/mips/cavium-octeon/setup.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8192u/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8192u/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8192u/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8192u/r8192U_core.c	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v10/kernel/head.S	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v32/kernel/irq.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8192u/r8192U_core.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8192u/r8192U_core.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/speakup/serialio.h	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211.h	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	arch/cris/arch-v32/kernel/debugport.c	MissingDead
635	v2.6.37	v3.6	arch/cris/include/asm/eshlibld.h	MissingDead
635	v2.6.37	v3.6	drivers/staging/rtl8187se/ieee80211/ieee80211_rx.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	fs/nilfs2/nilfs.h	MissingDead
635	v2.6.37	v3.6	fs/nilfs2/nilfs.h	MissingDead
635	v2.6.37	v3.6	kernel/debug/kdb/kdb_main.c	MissingDead
635	v2.6.37	v3.6	include/linux/com20020.h	MissingDead
635	v2.6.37	v3.6	arch/cris/include/asm/eshlibld.h	MissingUndead
635	v2.6.37	v3.6	drivers/pcmcia/m8xx_pcmcia.c	MissingDead
635	v2.6.37	v3.6	drivers/pcmcia/m8xx_pcmcia.c	MissingDead
635	v2.6.37	v3.6	drivers/pcmcia/m8xx_pcmcia.c	MissingDead
635	v2.6.37	v3.6	drivers/pcmcia/m8xx_pcmcia.c	MissingDead
635	v2.6.37	v3.6	drivers/pcmcia/m8xx_pcmcia.c	MissingDead
635	v2.6.37	v3.6	drivers/pcmcia/m8xx_pcmcia.c	MissingDead
635	v2.6.37	v3.6	drivers/pcmcia/m8xx_pcmcia.c	MissingDead
635	v2.6.37	v3.6	drivers/pcmcia/m32r_pcc.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/wd33c93.c	MissingDead
635	v2.6.37	v3.6	drivers/scsi/wd33c93.h	MissingDead
635	v2.6.37	v3.6	drivers/scsi/dc395x.c	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.c	MissingDead
635	v2.6.37	v3.6	drivers/scsi/aic7xxx/aic7xxx_osm.c	MissingDead
635	v2.6.37	v3.6	drivers/mmc/host/msm_sdcc.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	drivers/message/fusion/mptbase.h	MissingDead
635	v2.6.37	v3.6	drivers/message/fusion/mptbase.h	MissingDead
635	v2.6.37	v3.6	drivers/message/fusion/mptbase.h	MissingDead
635	v2.6.37	v3.6	drivers/message/fusion/mptbase.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf537/boards/stamp.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-common/ints-priority.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-common/ints-priority.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-common/ints-priority.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-common/ints-priority.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/mach-bf527/boards/tll6527m.c	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/entry.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/mmu_context.h	MissingDead
635	v2.6.37	v3.6	arch/blackfin/include/asm/irqflags.h	MissingDead
635	v2.6.37	v3.6	arch/xtensa/kernel/traps.c	MissingUndead
635	v2.6.37	v3.6	arch/xtensa/kernel/traps.c	MissingUndead
635	v2.6.37	v3.6	arch/blackfin/mach-bf527/boards/ezkit.c	MissingDead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingUndead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingUndead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingUndead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingUndead
635	v2.6.37	v3.6	drivers/scsi/ncr53c8xx.h	MissingUndead
635	v2.6.37	v3.6	include/linux/com20020.h	MissingUndead
635	v2.6.37	v3.6	fs/nilfs2/nilfs.h	MissingUndead
635	v2.6.37	v3.6	arch/mips/include/asm/sn/addrs.h	MissingDead
635	v2.6.37	v3.6	arch/mips/powertv/asic/prealloc.h	MissingDead
